b,18.157438583436956,0.7631833136157233,u,p,i,ff,2.95670655406815,f,t,8.75889368789578,f,g,101.21899222188142,68.54049285948622,+
b,10.800986009843605,4.258668932549094,u,g,ff,bb,0.31313741227708203,t,f,1.57197275135214,f,g,130.1221451190275,940.3228612805026,-
b,29.817378031715904,1.1813681290292,u,p,e,ff,1.9004197998003654,t,f,0.7486444421017152,f,g,652.3132170639149,3387.2794485646345,+
a,34.12365979264635,11.472459206712323,u,g,q,ff,4.645283116845832,f,f,1.9396493398755033,t,s,-76.69273797682348,2443.004924717291,+
b,30.977558370318025,2.2604895107940095,u,g,cc,v,1.1740972692608216,f,f,2.3282569699839324,f,g,27.623018868018676,776.0243589861168,+
b,42.90006474608616,1.4453998376743877,y,g,ff,bb,7.179549405726092,f,f,3.684724916803411,t,g,?,878.2718250505077,+
b,14.474994496903165,3.196967297103855,t,g,aa,j,5.127474852018263,f,f,2.9668465332316964,f,g,76.24525705095314,367.66820638045533,-
b,43.051695479996425,1.7643272369983674,u,g,ff,v,1.3709226894890059,t,f,0.0013012810960353308,t,g,201.5920806932057,0,-
b,20.616153295141437,0.8292271934827264,u,?,i,v,-0.45206246536848793,t,t,0.7088136838552244,f,p,104.89977605157782,831.6698296376452,+
b,35.5562719065017,2.672165214159236,y,g,m,?,7.923713590860459,t,f,1.14630699816076,f,g,30.291060849939214,1153.789897169143,-
b,?,0.07527126401311779,y,g,m,j,4.620768246906137,f,?,1.8232385691798143,f,g,37.611163400270584,2354.372131164199,-
b,23.99260445720482,18.120509714885955,y,g,c,n,0.43261556140225155,f,f,1.0351162745283098,t,p,284.99894373689466,3434.1415939602202,+
b,34.2154592339865,0.04157822524947484,u,p,aa,h,4.542204297729916,t,f,2.9432882166370318,f,g,14.304116061355359,2574.1692074849043,+
a,43.06051355093186,4.823159796763931,y,g,cc,z,3.2383427808094947,t,t,9.030773515407315,t,p,385.5949350167278,2075.920007383991,-
b,14.623136793821416,?,u,g,c,v,1.8964110317155747,f,t,0.8197340423529625,f,?,158.30718497216634,1683.181611897433,-
b,20.1057714578537,1.4068065920571549,u,g,w,z,0.2093080053117422,f,f,0.25557049337330723,f,s,189.89548213581998,0,-
a,44.496614918103326,?,u,p,cc,h,?,f,f,1.7902330923322594,t,p,406.2498257552545,2976.4052210082236,-
a,17.66921554007982,0.4441321763431225,y,g,q,z,-2.502305179621522,f,t,0.09515874820697345,f,g,190.92760324622867,0,-
b,22.73560041939436,?,y,g,m,ff,2.6493757687459247,f,f,1.8157277980758906,t,p,104.43521348273894,0,+
b,22.238171066918937,0.8563794126394894,?,g,ff,z,6.983905191824462,f,f,0.8210306534724898,f,p,540.7665534921476,3064.930521102294,+
b,?,0.06524135874361925,u,g,c,j,-0.12300839685634202,t,t,3.6030849276231374,f,g,539.2290666828944,3.1867545871086804,+
a,27.607254629191207,0.06940288608834996,t,g,r,n,?,f,f,7.201174565816817,f,p,?,2062.800021920659,-
b,34.2238116146322,7.73260828531358,y,p,r,h,1.187113213496784,t,f,1.0257703475153006,f,g,-11.2417954315857,3563.840760628403,+
b,18.984463276765787,12.415730395914466,u,g,aa,?,5.9794150049571435,t,?,2.10133694273828,t,p,117.48032694898544,0,-
a,13.091218575612867,5.125272020917064,y,g,ff,v,3.089208810011926,t,t,1.234176073902419,t,g,110.0805995878316,2968.0470891261803,-
b,15.392246081880078,0.3913110396385433,u,p,i,n,-8.092286579389933,f,f,3.8970775796218544,t,g,192.8867748929335,0,+
a,21.59403363848986,0.6943844454395371,l,p,aa,z,1.0358424750410196,t,f,0.18886522381449283,f,p,376.24023752951706,45.23653884935845,-
a,23.529270680346926,0.39237297164080764,l,g,x,bb,6.0803340987445145,t,t,0.028546473581354172,t,g,396.0934984167555,2541.726202928079,-
a,14.15268033033501,9.132761421766034,u,?,e,n,-0.5324107405532192,t,f,6.28683932348853,t,g,60.691714770307954,0,-
b,48.74105607059464,11.106453434255247,t,g,k,ff,-0.10509993102348947,f,t,0.5210104035901613,t,g,50.94744753587133,1300.7875729524153,-
a,?,1.66670685699462,l,p,aa,bb,7.628512517647659,f,?,3.2340100104903358,f,g,380.5048205226188,61.64869579059041,-
b,10.942385650909472,15.76668849469183,l,p,d,o,6.061617122496239,t,t,0.14506740961209053,f,p,437.75966489876237,1624.916962195895,-
a,27.743715501402715,0.622333549408899,t,p,ff,v,-2.7973704176124476,f,f,1.1085511557427652,t,g,443.6958358388289,?,-
a,56.228975098583845,9.417413894533972,u,g,m,n,7.266022527329613,f,f,0.5987037337336086,t,g,359.9321627644299,0,+
b,28.267117986665305,3.246862626325445,l,g,m,bb,4.152626767387887,f,f,1.5374431387600505,f,p,-78.93734798019932,3411.830414485171,+
b,37.3211293393593,2.773830728512194,y,?,r,j,-4.187577021735248,t,t,5.6774353128208945,t,?,104.0638099825866,48.65730406279545,+
b,21.71401112053814,0.41798658537165406,u,g,w,h,0.3229235202984295,t,t,0.9699819724748628,t,g,200.8259347177182,?,+
b,33.67808373152772,19.292514185974937,y,gg,ff,dd,-0.3256953810030625,t,f,0.16092330532796986,?,?,327.3643407681643,1942.073662836042,-
